image,class
0000004.png,0
0000010.png,0
0000018.png,0
0000021.png,0
0000027.png,0
0000038.png,0
0000040.png,0
0000041.png,0
0000042.png,0
0000055.png,0
0000057.png,0
0000058.png,6
0000059.png,0
0000062.png,0
0000064.png,0
0000065.png,0
0000066.png,0
0000069.png,0
0000071.png,0
0000072.png,0
0000080.png,0
0000081.png,6
0000087.png,0
0000089.png,0
0000090.png,0
0000091.png,0
0000094.png,0
0000095.png,0
0000111.png,0
0000112.png,6
0000113.png,0
0000121.png,0
0000135.png,0
0000146.png,0
0000153.png,0
0000164.png,0
0000175.png,0
0000176.png,0
0000183.png,0
0000185.png,0
0000188.png,0
0000189.png,0
0000194.png,6
0000197.png,0
0000199.png,0
0000201.png,0
0000208.png,0
0000213.png,0
0000216.png,0
0000217.png,0
0000220.png,0
0000222.png,6
0000224.png,0
0000227.png,0
0000235.png,0
0000236.png,0
0000237.png,0
0000245.png,0
0000247.png,0
0000248.png,0
0000250.png,0
0000257.png,0
0000259.png,0
0000269.png,0
0000277.png,0
0000280.png,0
0000283.png,0
0000286.png,0
0000289.png,0
0000294.png,0
0000300.png,0
0000301.png,0
0000302.png,0
0000310.png,8
0000311.png,8
0000313.png,0
0000314.png,0
0000327.png,0
0000328.png,2
0000336.png,0
0000341.png,0
0000344.png,0
0000370.png,0
0000376.png,0
0000377.png,0
0000385.png,0
0000386.png,0
0000390.png,0
0000393.png,0
0000394.png,0
0000396.png,0
0000398.png,2
0000402.png,8
0000403.png,6
0000406.png,0
0000410.png,0
0000422.png,0
0000425.png,0
0000431.png,0
0000434.png,0
0000441.png,0
0000447.png,0
0000449.png,0
0000452.png,0
0000457.png,0
0000474.png,0
0000477.png,0
0000478.png,0
0000481.png,0
0000490.png,0
0000496.png,0
0000498.png,0
0000511.png,0
0000513.png,0
0000515.png,0
0000523.png,0
0000527.png,0
0000545.png,0
0000547.png,0
0000551.png,0
0000565.png,0
0000573.png,0
0000582.png,0
0000585.png,0
0000587.png,0
0000594.png,0
0000596.png,0
0000598.png,0
0000605.png,0
0000607.png,0
0000608.png,0
0000609.png,0
0000611.png,0
0000615.png,0
0000617.png,0
0000628.png,0
0000634.png,0
0000639.png,0
0000648.png,0
0000652.png,0
0000656.png,0
0000659.png,0
0000670.png,0
0000678.png,0
0000686.png,0
0000690.png,0
0000691.png,0
0000698.png,0
0000705.png,0
0000713.png,0
0000715.png,0
0000718.png,0
0000719.png,8
0000728.png,0
0000729.png,0
0000738.png,6
0000756.png,0
0000758.png,0
0000762.png,0
0000764.png,0
0000766.png,0
0000767.png,0
0000770.png,0
0000772.png,0
0000777.png,0
0000779.png,0
0000781.png,0
0000788.png,0
0000796.png,0
0000797.png,0
0000802.png,0
0000811.png,0
0000817.png,0
0000826.png,0
0000827.png,0
0000830.png,0
0000833.png,0
0000841.png,0
0000852.png,0
0000856.png,0
0000880.png,0
0000881.png,0
0000883.png,0
0000887.png,0
0000888.png,0
0000894.png,0
0000896.png,8
0000898.png,0
0000902.png,0
0000905.png,0
0000906.png,0
0000907.png,0
0000921.png,6
0000922.png,8
0000923.png,0
0000926.png,0
0000928.png,0
0000931.png,0
0000932.png,0
0000934.png,0
0000937.png,8
0000940.png,0
0000941.png,0
0000944.png,0
0000948.png,0
0000957.png,0
0000960.png,0
0000962.png,0
0000970.png,0
0000971.png,0
0000972.png,0
0000982.png,0
0000984.png,0
0000987.png,0
0000995.png,0
0000998.png,0
0001000.png,0
0001020.png,0
0001023.png,0
0001024.png,0
0001025.png,0
0001031.png,0
0001039.png,0
0001048.png,0
0001050.png,0
0001059.png,0
0001062.png,0
0001070.png,0
0001073.png,0
0001076.png,0
0001077.png,0
0001086.png,0
0001089.png,0
0001094.png,0
0001095.png,6
0001103.png,0
0001109.png,0
0001114.png,0
0001115.png,0
0001116.png,0
0001119.png,0
0001126.png,8
0001128.png,0
0001130.png,0
0001145.png,0
0001147.png,0
0001153.png,0
0001154.png,0
0001165.png,0
0001166.png,0
0001167.png,0
0001176.png,0
0001185.png,0
0001190.png,0
0001196.png,0
0001203.png,8
0001217.png,0
0001224.png,0
0001226.png,0
0001230.png,0
0001234.png,0
0001236.png,0
0001239.png,0
0001252.png,0
0001253.png,6
0001259.png,0
0001260.png,0
0001263.png,0
0001265.png,0
0001267.png,0
0001269.png,0
0001270.png,0
0001279.png,0
0001282.png,0
0001283.png,0
0001286.png,0
0001288.png,0
0001289.png,0
0001290.png,0
0001297.png,0
0001307.png,0
0001308.png,0
0001313.png,0
0001318.png,0
0001319.png,0
0001320.png,0
0001324.png,0
0001331.png,0
0001336.png,0
0001337.png,0
0001345.png,0
0001360.png,0
0001363.png,0
0001366.png,0
0001367.png,0
0001369.png,0
0001370.png,0
0001383.png,0
0001384.png,0
0001395.png,8
0001398.png,0
0001402.png,0
0001412.png,0
0001413.png,0
0001422.png,0
0001427.png,0
0001429.png,0
0001432.png,0
0001440.png,2
0001441.png,0
0001447.png,0
0001449.png,0
0001451.png,0
0001455.png,0
0001457.png,0
0001462.png,0
0001467.png,0
0001469.png,0
0001475.png,0
0001477.png,0
0001489.png,0
0001490.png,0
0001493.png,0
0001494.png,0
0001498.png,0
0001504.png,0
0001508.png,0
0001510.png,0
0001512.png,0
0001525.png,0
0001527.png,0
0001531.png,0
0001539.png,0
0001541.png,0
0001544.png,0
0001545.png,0
0001547.png,6
0001548.png,0
0001551.png,0
0001554.png,0
0001555.png,0
0001560.png,0
0001569.png,0
0001570.png,0
0001578.png,0
0001581.png,0
0001584.png,0
0001590.png,0
0001598.png,0
0001609.png,0
0001611.png,0
0001613.png,0
0001617.png,0
0001622.png,6
0001635.png,0
0001641.png,0
0001647.png,0
0001649.png,0
0001663.png,0
0001670.png,0
0001672.png,2
0001681.png,0
0001683.png,0
0001685.png,0
0001690.png,0
0001699.png,6
0001711.png,0
0001712.png,6
0001726.png,8
