image,top1,top3
0000004.png,0,"[0, 1, 6]"
0000010.png,0,"[0, 6, 8]"
0000018.png,0,"[0, 6, 8]"
0000021.png,0,"[0, 8, 2]"
0000027.png,0,"[0, 8, 6]"
0000038.png,0,"[0, 6, 8]"
0000040.png,0,"[0, 6, 2]"
0000041.png,0,"[0, 6, 2]"
0000042.png,0,"[0, 6, 8]"
0000055.png,0,"[0, 6, 8]"
0000057.png,0,"[0, 1, 6]"
0000058.png,0,"[0, 6, 8]"
0000059.png,0,"[0, 6, 1]"
0000062.png,0,"[0, 6, 5]"
0000064.png,0,"[0, 8, 6]"
0000065.png,0,"[0, 6, 2]"
0000066.png,0,"[0, 6, 2]"
0000069.png,0,"[0, 1, 7]"
0000071.png,0,"[0, 9, 7]"
0000072.png,0,"[0, 6, 1]"
0000080.png,0,"[0, 6, 1]"
0000081.png,0,"[0, 2, 6]"
0000087.png,0,"[0, 2, 6]"
0000089.png,0,"[0, 6, 8]"
0000090.png,0,"[0, 6, 5]"
0000091.png,0,"[0, 6, 5]"
0000094.png,0,"[0, 6, 8]"
0000095.png,0,"[0, 6, 8]"
0000111.png,0,"[0, 1, 6]"
0000112.png,0,"[0, 6, 8]"
0000113.png,0,"[0, 6, 8]"
0000121.png,0,"[0, 2, 6]"
0000135.png,0,"[0, 6, 2]"
0000146.png,0,"[0, 6, 9]"
0000153.png,0,"[0, 8, 6]"
0000164.png,0,"[0, 6, 8]"
0000175.png,0,"[0, 8, 6]"
0000176.png,0,"[0, 8, 6]"
0000183.png,0,"[0, 8, 9]"
0000185.png,0,"[0, 6, 9]"
0000188.png,0,"[0, 8, 6]"
0000189.png,0,"[0, 6, 2]"
0000194.png,0,"[0, 8, 6]"
0000197.png,0,"[0, 6, 1]"
0000199.png,0,"[0, 6, 3]"
0000201.png,0,"[0, 2, 6]"
0000208.png,0,"[0, 6, 2]"
0000213.png,0,"[0, 8, 6]"
0000216.png,0,"[0, 6, 8]"
0000217.png,0,"[0, 6, 2]"
0000220.png,0,"[0, 6, 1]"
0000222.png,0,"[0, 6, 3]"
0000224.png,0,"[0, 6, 9]"
0000227.png,0,"[0, 3, 7]"
0000235.png,0,"[0, 6, 2]"
0000236.png,0,"[0, 6, 1]"
0000237.png,6,"[6, 0, 9]"
0000245.png,0,"[0, 6, 2]"
0000247.png,0,"[0, 3, 5]"
0000248.png,0,"[0, 6, 1]"
0000250.png,0,"[0, 6, 8]"
0000257.png,0,"[0, 2, 6]"
0000259.png,3,"[3, 0, 6]"
0000269.png,0,"[0, 6, 8]"
0000277.png,0,"[0, 8, 3]"
0000280.png,0,"[0, 6, 2]"
0000283.png,0,"[0, 2, 3]"
0000286.png,0,"[0, 6, 8]"
0000289.png,0,"[0, 6, 1]"
0000294.png,0,"[0, 6, 9]"
0000300.png,0,"[0, 6, 2]"
0000301.png,0,"[0, 2, 6]"
0000302.png,0,"[0, 6, 2]"
0000310.png,0,"[0, 8, 6]"
0000311.png,0,"[0, 6, 5]"
0000313.png,0,"[0, 8, 9]"
0000314.png,0,"[0, 6, 1]"
0000327.png,0,"[0, 1, 9]"
0000328.png,0,"[0, 2, 6]"
0000336.png,0,"[0, 6, 1]"
0000341.png,0,"[0, 6, 9]"
0000344.png,0,"[0, 6, 9]"
0000370.png,0,"[0, 6, 8]"
0000376.png,0,"[0, 6, 2]"
0000377.png,0,"[0, 6, 8]"
0000385.png,0,"[0, 2, 6]"
0000386.png,0,"[0, 6, 4]"
0000390.png,0,"[0, 6, 8]"
0000393.png,0,"[0, 6, 9]"
0000394.png,0,"[0, 6, 8]"
0000396.png,0,"[0, 6, 1]"
